,followers_count,following_count,name,tweet_count,listed_count
0,50515,451,dragoner_JP,315818,1771
1,25634,304,rockfish31,86057,720
2,3560,1295,kinoyuripeach86,3914,39
3,505,0,andorisu_bosai,51,8
4,12056,3865,masakiishitani,129344,968
5,9017,5546,nan,76125,358
6,134168,1790,fshin2000,89961,2449
7,9448,97,toshimasaota,13653,123
8,1391,1517,cabecchi,1746,33
9,9017,5546,nan,76125,358
10,10710,6273,jaykogami,30200,387
11,9145,1,irnote,1883,113
12,557,1196,spnoriko,4312,15
13,9017,5546,nan,76125,358
14,29765,884,u5u,138459,790
15,568,274,kaoritanuki,1418,8
16,9891,716,nishan_tha,7365,84
17,7213,7299,fukuryu_76,42365,167
18,306,101,natsukiprado,200,11
19,2056,190,_maishilo_,1438,30
20,1219,737,yatun,8725,61
21,17472,7540,owawriter,5391,561
22,9998,989,regista13,79875,343
23,9017,5546,nan,76125,358
24,9017,5546,nan,76125,358
25,9017,5546,nan,76125,358
26,9017,5546,nan,76125,358
27,527,74,atmsh_official,909,7
28,2106,259,yasuitkyk,1776,72
29,18333,1091,main_streamz,76449,787
30,441,573,anzou,2817,6
31,9017,5546,nan,76125,358
32,27373,815,YSD0118,68324,1145
33,2826,82,Mitsunobu3,46918,238
34,25512,1082,takahitoando,47107,549
35,9017,5546,nan,76125,358
36,1114,45,kasumilny,4753,25
37,NaN,NaN,megumiito_,NaN,NaN
38,2667,67,ItoJota1964,1438,32
39,1569,308,Ito53Shin,4994,32
40,3278,198,mai19860507,997,51
41,17796,3213,KazukoIto_Law,34426,471
42,3861,1091,idetaicho,32085,78
43,32124,9880,rumiide,27233,831
44,9017,5546,nan,76125,358
45,290345,700,inouekozodesu,17958,4247
46,56,425,ICHIIAkiko,58,4
47,9017,5546,nan,76125,358
48,9017,5546,nan,76125,358
49,26606,1166,inyou_te,55993,250
50,417,248,unenatsuki,2766,20
51,40055,1144,tete_room,40665,3367
52,29,13,NessKraft,766,0
53,9017,5546,nan,76125,358
54,9017,5546,nan,76125,358
55,8260,772,usuimafumi,16897,252
56,9017,5546,nan,76125,358
57,9017,5546,nan,76125,358
58,12153,1801,enodon,28054,817
59,2734,470,sonoda_hisashi,13093,169
60,1504,152,yukisaruwatari,506,27
61,17265,122,funnytoyama,15920,1033
