,names,positions,twitters,fbs,bios,curs,tracked_mods
0,相澤冬樹,大阪日日新聞編集局長・記者（元ＮＨＫ記者）,fuyu3710,fuyuki.aizawa,1962年宮崎県生まれ。1987年ＮＨＫ記者に。山口、神戸、東京、徳島、大阪で勤務。神戸で阪神・淡路大震災を取材。大阪でJR福知山線脱線事故を取材。大阪司法記者クラブ担当の2017年に森友事件に遭遇して取材を進めるが、2018年記者を外されてNHKを退職。この時の経緯を「安倍官邸vs.NHK 森友事件をスクープした私が辞めた理由」（文藝春秋刊）という本にまとめた。現在、大阪日日新聞に務めながらYahoo!ニュースをはじめ日刊ゲンダイや週刊文春など様々な媒体で記事を書いている。,106,50
1,青木勇気,政策企画／事業開発,totti81,yukiaoki0801,1979年神奈川県生まれ。上智大学文学部卒。一般社団法人メディカル・フェムテック・コンソーシアム 事務局長。医療・ヘルスケア、フェムテック領域におけるサービス・事業開発、アライアンス、ロビイングが専門。思想、評論要素が強く、アンビバレントな感情を持つ書き手であり、根底に物語への愛があります。とにかく感じたこと、考えたことを愚直に言葉にします。著著：『梨花、』,29,38
2,赤石千衣子,しんぐるまざあず・ふぉーらむ理事長,nyachieko,singlemamaforum,ＮＰＯ法人しんぐるまざあず・ふぉーらむ理事長。当事者としてシングルマザーと子どもたちが生き生きくらせる社会をめざして活動中。社会保障審議会児童部会ひとり親家庭の支援の在り方専門委員会参考人。社会福祉士。国家資格キャリアコンサルタント。東京都ひとり親家庭の自立支援計画策定委員。全国の講演多数。著書に『ひとり親家庭』（岩波新書）、共著に『災害支援に女性の視点を』、編著に『母子家庭にカンパイ！』（現代書館）、『シングルマザー365日サポートブック』ほかがある。,30,4
3,秋元祥治,岡崎ビジネスサポートセンター長、NPO法人G-net理事,akimoto_gifu,shoji.akimoto,地域の中小企業支援と、主体的な若者育成を通じた地域活性化がテーマ。2001年G-netを立ち上げ03年法人化。04年「長期実践型インターンシップ」事業を開始し、09年経産省「ソーシャルビジネス55選」・12年「ものづくり日本大賞・優秀賞」受賞。2016年内閣府「地域活性化伝道師」就任。現在は岡崎ビジネスサポートセンターOKa-Bizセンター長として中小企業支援を行い、大学で教鞭も。,87,45
4,明智カイト,『NPO法人　市民アドボカシー連盟』代表理事,kaito_twtr,kaito.akechi,定期的な勉強会の開催などを通して市民セクターのロビイングへの参加促進、ロビイストの認知拡大と地位向上、アドボカシーの体系化を目指して活動している。「いのち　リスペクト。ホワイトリボン・キャンペーン」を立ち上げて、「いじめ対策」「自殺対策」などのロビー活動を行ってきた。著書に『誰でもできるロビイング入門　社会を変える技術』（光文社新書）。日本政策学校の講師、NPO法人「ストップいじめ！ナビ」メンバー、ホワイト企業の証しである「ホワイトマーク」を推進している安全衛生優良企業マーク推進機構の顧問などを務めている。,160,17
5,明戸隆浩,社会学者,NaN,NaN,1976年名古屋生まれ。立教大学社会学部助教。東京大学大学院人文社会系研究科博士課程単位取得退学。専門は社会学、社会思想、多文化社会論。現在の関心はヘイトスピーチやレイシズム、排外主義の問題。著書に『奇妙なナショナリズムの時代』（共著、岩波書店、2015年）、『社会の芸術／芸術という社会』（共著、フィルムアート社、2016年）、『排外主義の国際比較』（共著、ミネルヴァ書房、2018年）など。訳書にエリック・ブライシュ『ヘイトスピーチ』（共訳、明石書店、2014年）など。,10,0
6,足立泰美,甲南大学経済学部教授／博士「医学」博士「国際公共政策」,NaN,NaN,"専門：財政学「共創」を目指しサービスという受益の裏にある財政負担. それをどう捉えるのか. 現場に赴き, 公的個票データを用い実証的に検証していく【略歴】大阪大学 博士「医学」博士「国際公共政策」内閣府「政府税制調査会」国土交通省「都道府県構想策定マニュアル検討委員会」総務省「公営企業の経営健全化等に関する調査研究会」大阪府「高齢者保健福祉計画推進審議会」委員を多数歴任【著書】『保健・医療・介護における財源と給付の経済学』『税と社会保障負担の経済分析』『雇用と結婚・出産・子育て支援 の経済学』『Tax and Social Security Policy Analysis in Japan』",31,0
7,安積明子,政治ジャーナリスト,main_streamz,azumiakiko,兵庫県出身。姫路西高校、慶應義塾大学経済学部卒。国会議員政策担当秘書資格試験に合格後、政策担当秘書として勤務。テレビやラジオに出演の他、「野党共闘（泣）。」「“小池”にはまって、さあ大変！ー希望の党の凋落と突然の代表辞任」（ワニブックスPLUS新書）を執筆。「記者会見」の現場で見た永田町の懲りない人々」（青林堂）に続き、「『新聞記者』という欺瞞ー『国民の代表』発言の意味をあらためて問う」（ワニブックス）が咢堂ブックオブイヤー大賞（メディア部門）を連続受賞。2021年に「新聞・テレビではわからない永田町のリアル」（青林堂）と「眞子内親王の危険な選択」（ビジネス社）を刊行。姫路ふるさと大使。,145,705
8,あんどうりす,アウトドア防災ガイド　 リスク対策.com名誉顧問,andorisu_bosai,andorisu,阪神淡路大震災の経験とアウトドアスキルを使った日常にも役立つ防災テクを、赤ちゃん子育て仲間に話したのが２００３年。子育てバックをそのまま防災バックに、LEDヘッドライトを使う理由と遊び方、濡れても音が出るホイッスルの特徴、高性能レインウエアを６年間子どもに着せる方法、赤ちゃんを軽くだっこやおんぶする技はアウトドアのリュックを軽くする仕組みと同じ、防水バックで水着入れ＆給水バックになど実践的な技をいち早く紹介。技だけなく仕組みと知恵が得られると好評で、口コミで全国に広がる。現在、企業研修など多様な講演、FM西東京パーソナリティ、リスク対策.comなど防災記事も執筆。ゆるくて楽しい防災が好み。,37,26
9,飯島裕子,ノンフィクションライター,NaN,NaN,東京都生まれ。大学卒業後、専門紙記者として5年間勤務。雑誌編集を経てフリーランスに。人物インタビュー、ルポルタージュを中心に『ビッグイシュー』等で取材、執筆を行っているほか、大学講師を務めている。著書に『ルポ貧困女子』（岩波新書）、『ルポ若者ホームレス』（ちくま新書）、インタビュー集に『99人の小さな転機のつくり方』（大和書房）がある。一橋大学大学院社会学研究科修士課程修了。,20,2
